Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
594,12.474,0.00358506,2.00121e-05,-0.0205381,nan,nan,-0.00993039,2,1.974,0.05,2.81055,0.557015,0.557013,-0.0138886,1.64537e-22,0.557186,-0.0138704,1.64538e-22,0.557188,0.445605,-0.0133234,7.64245e-23,0.445805,1,0
595,12.495,0.00352442,1.90053e-05,-0.0196497,nan,nan,-0.00969456,2,1.995,0.05,2.82534,0.554237,0.554234,-0.0136726,-4.01089e-24,0.554402,-0.0136549,-4.0109e-24,0.554405,0.445368,-0.0128479,-1.8498e-24,0.445554,1,0
596,12.516,0.00346573,1.79838e-05,-0.0187374,nan,nan,-0.00946103,2,2.016,0.05,2.8402,0.551327,0.551324,-0.0136067,-1.64732e-22,0.551492,-0.0135897,-1.64733e-22,0.551495,0.445119,-0.0123488,-7.64914e-23,0.445291,1,0
597,12.537,0.00340795,1.69791e-05,-0.0178505,nan,nan,-0.00922355,2,2.037,0.05,2.85515,0.548518,0.548515,-0.0136475,-3.39067e-22,0.548684,-0.0136311,-3.39068e-22,0.548687,0.444852,-0.0118573,-1.57455e-22,0.44501,1,0
598,12.558,0.00335104,1.59907e-05,-0.0169881,nan,nan,-0.00898226,2,2.058,0.05,2.87017,0.545805,0.545802,-0.0137913,-5.26544e-22,0.545976,-0.0137754,-5.26545e-22,0.545979,0.444566,-0.0113731,-2.44522e-22,0.444711,1,0
599,12.579,0.00329498,1.50178e-05,-0.0161494,nan,nan,-0.00873729,2,2.079,0.05,2.88526,0.543185,0.543182,-0.0140345,-7.26708e-22,0.543363,-0.0140191,-7.26709e-22,0.543366,0.444262,-0.010896,-3.3748e-22,0.444396,1,0
600,12.6,0.00323974,1.40602e-05,-0.0153335,nan,nan,-0.00848877,2,2.1,0.05,2.90043,0.540656,0.540652,-0.0143738,-9.39127e-22,0.540843,-0.0143589,-9.39128e-22,0.540846,0.443942,-0.0104257,-4.3613e-22,0.444065,1,0
601,12.621,0.00320564,1.27468e-05,-0.0146192,nan,nan,-0.00825514,2,2.121,0.05,2.91567,0.537868,0.537864,-0.0142768,-7.3135e-22,0.538054,-0.0142623,-7.31351e-22,0.538057,0.443552,-0.00997415,-3.39638e-22,0.443664,1,0
602,12.642,0.00317154,1.14335e-05,-0.0139049,nan,nan,-0.00802151,2,2.142,0.05,2.93098,0.53508,0.535076,-0.0141798,-5.23576e-22,0.535264,-0.0141657,-5.23577e-22,0.535268,0.443161,-0.00952259,-2.43148e-22,0.443263,1,0
603,12.663,0.00313744,1.01202e-05,-0.0131906,nan,nan,-0.00778788,2,2.163,0.05,2.94637,0.532292,0.532289,-0.0140828,-3.15799e-22,0.532475,-0.0140691,-3.158e-22,0.532478,0.44277,-0.00907102,-1.46657e-22,0.442863,1,0
604,12.684,0.00310334,8.80686e-06,-0.0124763,nan,nan,-0.00755425,2,2.184,0.05,2.96182,0.529505,0.529501,-0.0139857,-1.08025e-22,0.529685,-0.0139725,-1.08025e-22,0.529689,0.44238,-0.00861945,-5.01666e-23,0.442464,1,0
605,12.705,0.00307927,8.07428e-06,-0.0118743,nan,nan,-0.00735311,2,2.205,0.05,2.97734,0.527113,0.527109,-0.0138215,0,0.527291,-0.0138086,0,0.527294,0.442077,-0.00820214,0,0.442153,1,0
606,12.726,0.00306606,7.97061e-06,-0.0113937,nan,nan,-0.00718715,2,2.226,0.05,2.99292,0.525151,0.525147,-0.0135845,0,0.525323,-0.0135719,0,0.525326,0.441869,-0.00782193,0,0.441938,1,0
607,12.747,0.00305285,7.86694e-06,-0.0109131,nan,nan,-0.00702118,2,2.247,0.05,3.00857,0.523188,0.523185,-0.0133474,0,0.523355,-0.0133352,0,0.523358,0.44166,-0.00744172,0,0.441723,1,0
608,12.768,0.00303963,7.76327e-06,-0.0104325,nan,nan,-0.00685522,2,2.268,0.05,3.02429,0.521226,0.521222,-0.0131104,0,0.521387,-0.0130985,0,0.52139,0.441452,-0.00706151,0,0.441509,1,0
609,12.789,0.00302642,7.6596e-06,-0.00995188,nan,nan,-0.00668925,2,2.289,0.05,3.04007,0.519263,0.51926,-0.0128734,0,0.519419,-0.0128618,0,0.519423,0.441244,-0.00668129,0,0.441295,1,0
