Point ID,arc_length,Co,CpMean,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
22,0.462,0.00231162,0.0491185,1.04675e-13,0.000823923,nan,nan,0.00392948,1,-10.038,0.005,10.0877,0.404473,0.404473,-0.000395799,0,0.404474,-0.000395762,0,0.404474,0.406542,-0.00054453,0,0.406542,1,0
23,0.483,0.00231164,0.0491126,1.04253e-13,0.000822664,nan,nan,0.00392901,1,-10.017,0.005,10.0668,0.404475,0.404475,-0.000413789,0,0.404475,-0.000413751,0,0.404475,0.406546,-0.000569281,0,0.406546,1,0
24,0.504,0.00231165,0.0491066,1.03832e-13,0.000821404,nan,nan,0.00392853,1,-9.996,0.005,10.0459,0.404477,0.404477,-0.00043178,0,0.404477,-0.00043174,0,0.404477,0.40655,-0.000594032,0,0.406551,1,0
25,0.525,0.00231167,0.0491007,1.03411e-13,0.000820145,nan,nan,0.00392805,1,-9.975,0.005,10.025,0.404479,0.404479,-0.000449771,0,0.404479,-0.000449729,0,0.404479,0.406555,-0.000618784,0,0.406555,1,0
26,0.546,0.00231169,0.0490947,1.02989e-13,0.000818885,nan,nan,0.00392758,1,-9.954,0.005,10.0041,0.404481,0.404481,-0.000467762,0,0.404481,-0.000467719,0,0.404481,0.406559,-0.000643535,0,0.40656,1,0
27,0.567,0.0023117,0.0490887,1.02568e-13,0.000817625,nan,nan,0.0039271,1,-9.933,0.005,9.98321,0.404483,0.404483,-0.000485753,0,0.404483,-0.000485708,0,0.404483,0.406564,-0.000668287,0,0.406564,1,0
28,0.588,0.00231172,0.0490828,1.02147e-13,0.000816366,nan,nan,0.00392662,1,-9.912,0.005,9.96232,0.404485,0.404485,-0.000503744,0,0.404485,-0.000503698,0,0.404485,0.406568,-0.000693038,0,0.406569,1,0
29,0.609,0.00231174,0.0490768,1.01725e-13,0.000815106,nan,nan,0.00392614,1,-9.891,0.005,9.94142,0.404487,0.404487,-0.000521735,0,0.404487,-0.000521687,0,0.404487,0.406572,-0.00071779,0,0.406573,1,0
30,0.63,0.00231175,0.0490709,1.01304e-13,0.000813847,nan,nan,0.00392567,1,-9.87,0.005,9.92053,0.404488,0.404488,-0.000539726,0,0.404489,-0.000539676,0,0.404489,0.406577,-0.000742541,0,0.406578,1,0
31,0.651,0.00231177,0.0490649,1.00883e-13,0.000812587,nan,nan,0.00392519,1,-9.849,0.005,9.89964,0.40449,0.40449,-0.000557716,0,0.404491,-0.000557665,0,0.404491,0.406581,-0.000767292,0,0.406582,1,0
